Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Status,Owner Name,Owner Street Address,Owner City,Owner State,Owner Zip,Ownership ID,Percent Owned,Year
1746,Black River Generation LLC,10464,Black River Generation,NY,GEN1,OP,Black River Generation LLC,P O Box 849,Fort Drum,NY,13602,1746,1,2013
2313,Brooklyn Navy Yard Cogen PLP,54914,Brooklyn Navy Yard Cogeneration,NY,01,OP,Mission Energy of NY,,,,,34667,0.5,2013
2313,Brooklyn Navy Yard Cogen PLP,54914,Brooklyn Navy Yard Cogeneration,NY,01,OP,B-41 Associates,,,,,34668,0.5,2013
2313,Brooklyn Navy Yard Cogen PLP,54914,Brooklyn Navy Yard Cogeneration,NY,02,OP,Mission Energy of NY,,,,,34667,0.5,2013
2313,Brooklyn Navy Yard Cogen PLP,54914,Brooklyn Navy Yard Cogeneration,NY,02,OP,B-41 Associates,,,,,34668,0.5,2013
2313,Brooklyn Navy Yard Cogen PLP,54914,Brooklyn Navy Yard Cogeneration,NY,03,OP,Mission Energy of NY,,,,,34667,0.5,2013
2313,Brooklyn Navy Yard Cogen PLP,54914,Brooklyn Navy Yard Cogeneration,NY,03,OP,B-41 Associates,,,,,34668,0.5,2013
2313,Brooklyn Navy Yard Cogen PLP,54914,Brooklyn Navy Yard Cogeneration,NY,04,OP,Mission Energy of NY,,,,,34667,0.5,2013
2313,Brooklyn Navy Yard Cogen PLP,54914,Brooklyn Navy Yard Cogeneration,NY,04,OP,B-41 Associates,,,,,34668,0.5,2013
2598,Burrows Paper Corp,50652,Lyonsdale Associates,NY,GEN1,OP,Lyonsdale Associates LLC,PO Box 987501 West Main St,Little Falls,NY,13365,56382,1,2013
2598,Burrows Paper Corp,50652,Lyonsdale Associates,NY,GEN2,OP,Lyonsdale Associates LLC,PO Box 987501 West Main St,Little Falls,NY,13365,56382,1,2013
5511,CCI Roseton LLC,8006,Roseton Generating Facility,NY,1,OP,Dynegy Rosteon LLC,,,,,34502,1,2013
5511,CCI Roseton LLC,8006,Roseton Generating Facility,NY,2,OP,CCI Roseton LLC,992 River Road,Newburgh,NY,12550,5511,1,2013
5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,12TG,RE,Dean Baughman Industrial Services,5704 Industrial Road,Fort Wayne,IN,46825,56569,1,2013
5914,Erie Boulevard Hydropower LP,2576,Higley,NY,2,RE,BRASCAN Power Corporation,480m Boul. de la CiteGatineau,Quebec,CN,J8T,50008,1,2013
5914,Erie Boulevard Hydropower LP,2576,Higley,NY,3,RE,BRASCAN Power Corporation,480m Boul. de la CiteGatineau,Quebec,CN,J8T,50008,1,2013
7092,General Mills Inc,54564,General Mills Inc,NY,GEN1,OP,General Mills Inc,54 South Michigan Avenue,Buffalo,NY,14203,7092,1,2013
10349,KIAC Partners,54114,Kennedy International Airport Cogen,NY,CT-3,IP,Westbrook Energy Center,Westbrook Energy Center717 Texas Avenue,Houston,TX,77002,2891,1,2013
